Medium,Title,Image,Year of completion,Height,Width
pencil,90898,090898.jpg,1998,9,12
watercolor,90998,090998.jpg,1998,9,12
colored pencil,91098,091098.jpg,1998,9,12
pencil,91198,091198.jpg,1998,9,12
"Colored pencil, pastel",91298,091298.jpg,1998,9,12
Charcoal,91398,091398.jpg,1998,9,12
Pencil,91498,091498.jpg,1998,9,12
colored pencil,91598,091598.jpg,1998,9,12
Watercolor,91698,091698.jpg,1998,9,12
colored pencil,91798,091798.jpg,1998,9,12
pencil,91898,091898.jpg,1998,9,12
pencil,91998,091998.jpg,1998,9,12
Charcoal,92098,092098.jpg,1998,9,12
Colored pencil,92198,092198.jpg,1998,9,12
watercolor,92298,092298.jpg,1998,9,12
pencil,92398,092398.jpg,1998,9,12
"watercolor, marker",92498,092498.jpg,1998,9,12
pencil,92598,092598.jpg,1998,9,12
Colored pencil,92698,092698.jpg,1998,9,12
Colored pencil,92798,092798.jpg,1998,9,12
watercolor,92898,092898.jpg,1998,9,12
Charcoal,92998,092998.jpg,1998,9,12
"pencil, colored pencil",93098,093098.jpg,1998,9,12
watercolor,100198,100198.jpg,1998,9,12
Collage,100298,100298.jpg,1998,9,12
Polaroid,100398,100398.jpg,1998,9,12
colored pencil,100498,100498.jpg,1998,9,12
"Watercolor, acrylic",100598,100598.jpg,1998,9,12
"pencil, colored pencil",100698,100698.jpg,1998,9,12
pencil,100798,100798.jpg,1998,9,12
Colored pencil,100898,100898.jpg,1998,9,12
watercolor,100998,100998.jpg,1998,9,12
Charcoal,101098,101098.jpg,1998,9,12
pencil,101198,101198.jpg,1998,9,12
Laser toner,101298,101298.jpg,1998,9,12
Marker,101398,101398.jpg,1998,9,12
colored pencil,101498,101498.jpg,1998,9,12
Ink,101598,101598.jpg,1998,9,12
"Charcoal, colored pencil",101698,101698.jpg,1998,9,12
Marker,101798,101798.jpg,1998,9,12
colored pencil,101898,101898.jpg,1998,9,12
colored pencil,101998,101998.jpg,1998,9,12
pencil,102098,102098.jpg,1998,9,12
colored pencil,102198,102198.jpg,1998,9,12
pencil,102298,102298.jpg,1998,9,12
Coffee,102398,102398.jpg,1998,9,12
Collage,102498,102498.jpg,1998,9,12
colored pencil,102598,102598.jpg,1998,9,12
watercolor,102698,102698.jpg,1998,9,12
charcoal,102798,102798.jpg,1998,9,12
colored pencil,102898,102898.jpg,1998,9,12
colored pencil,102998,102998.jpg,1998,9,12
Construction paper,103098,103098.jpg,1998,9,12
Laser toner,103198,103198.jpg,1998,9,12
colored pencil,110198,110198.jpg,1998,9,12
pencil,110298,110298.jpg,1998,9,12
colored pencil,110398,110398.jpg,1998,9,12
watercolor,110498,110498.jpg,1998,9,12
Marker,110598,110598.jpg,1998,9,12
pencil,110698,110698.jpg,1998,9,12
colored pencil,110798,110798.jpg,1998,9,12
colored pencil,110898,110898.jpg,1998,9,12
colored pencil,110998,110998.jpg,1998,9,12
watercolor,111098,111098.jpg,1998,9,12
"Marker, newsprint",111198,111198.jpg,1998,9,12
charcoal,111298,111298.jpg,1998,9,12
pencil,111398,111398.jpg,1998,9,12
colored pencil,111498,111498.jpg,1998,9,12
watercolor,111598,111598.jpg,1998,9,12
pencil,111698,111698.jpg,1998,9,12
pencil,111798,111798.jpg,1998,9,12
watercolor,111898,111898.jpg,1998,9,12
charcoal,111998,111998.jpg,1998,9,12
"pencil, colored pencil",112098,112098.jpg,1998,9,12
Pastel,112198,112198.jpg,1998,9,12
pencil,112298,112298.jpg,1998,9,12
Colored pencil,112398,112398.jpg,1998,9,12
charcoal,112498,112498.jpg,1998,9,12
charcoal,112598,112598.jpg,1998,9,12
Pastel,112698,112698.jpg,1998,9,12
pencil,112798,112798.jpg,1998,9,12
Collage,112898,112898.jpg,1998,9,12
pencil,112998,112998.jpg,1998,9,12
watercolor,113098,113098.jpg,1998,9,12
pencil,120198,120198.jpg,1998,9,12
marker,120298,120298.jpg,1998,9,12
pencil,120398,120398.jpg,1998,9,12
Pastel,120498,120498.jpg,1998,9,12
colored pencil,120598,120598.jpg,1998,9,12
Colored pencil,120698,120698.jpg,1998,9,12
pencil,120798,120798.jpg,1998,9,12
colored pencil,120898,120898.jpg,1998,9,12
"charcoal, pastel",120998,120998.jpg,1998,9,12
pencil,121098,121098.jpg,1998,9,12
pencil,121198,121198.jpg,1998,9,12
pencil,121298,121298.jpg,1998,9,12
Pastel,121398,121398.jpg,1998,9,12
watercolor,121498,121498.jpg,1998,9,12
watercolor,121598,121598.jpg,1998,9,12
